Rk,Gtm,Date,At,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,4/8/22,,BOS,"W,6-5",46,39,6,9,1,0,3,6,4,2,15,2,0,1,0,0,0,0,0.231,0.326,0.487,0.813,12,12,R,N.Eovaldi(51)
2,2,4/9/22,,BOS,"W,4-2",30,27,4,4,0,0,2,4,3,0,5,0,0,0,0,0,0,0,0.197,0.289,0.439,0.729,2,10,R,N.Pivetta(46)
3,3,4/10/22,,BOS,"L,3-4",41,36,3,11,2,0,0,3,4,0,9,1,0,0,0,2,1,0,0.235,0.325,0.412,0.737,11,11,R,T.Houck(36)
4,4,4/11/22,,TOR,"L,0-3",35,29,0,4,0,0,0,0,5,0,9,1,0,0,0,2,0,0,0.214,0.316,0.351,0.667,8,10,R,A.Manoah(73)
5,5,4/12/22,,TOR,"W,4-0",33,28,4,7,4,0,1,3,3,0,5,1,0,1,0,1,0,0,0.22,0.319,0.377,0.696,5,10,L,Y.Kikuchi(40)
6,6,4/13/22,,TOR,"L,4-6",39,36,4,10,2,0,3,4,3,0,9,0,0,0,0,1,0,0,0.231,0.321,0.415,0.737,8,11,R,J.Berrios(45)
7,7,4/14/22,,TOR,"W,3-0",32,31,3,8,2,0,0,3,1,0,10,0,0,0,0,1,1,0,0.235,0.316,0.403,0.719,5,10,R,K.Gausman(58)
8,8,4/15/22,@,BAL,"L,1-2",40,37,1,7,1,0,0,1,2,0,13,1,0,0,0,2,0,0,0.228,0.307,0.376,0.684,8,12,R,J.Lyles(54)
9,9,4/16/22,@,BAL,"W,5-2",43,35,5,11,3,0,1,4,5,0,7,1,1,0,0,0,0,1,0.238,0.32,0.389,0.71,11,9,R,T.Wells(57)
10,10,4/17/22,@,BAL,"L,0-5",34,30,0,4,0,0,0,0,3,0,10,0,1,0,1,1,0,0,0.229,0.311,0.366,0.677,7,11,L,B.Zimmermann(63)
11,11,4/19/22,@,DET,"W,4-2",42,33,4,6,0,0,0,2,8,0,13,0,0,1,1,0,4,0,0.224,0.313,0.349,0.662,11,9,L,T.Alexander(47)
12,12,4/20/22,@,DET,"W,5-3",36,33,5,6,3,0,1,5,2,0,7,0,1,0,0,0,1,1,0.221,0.306,0.35,0.657,4,11,L,E.Rodriguez(56)
13,13,4/21/22,@,DET,"L,0-3",34,33,0,7,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0.22,0.301,0.342,0.643,7,13,R,M.Pineda(63)
14,14,4/22/22,,CLE,"W,4-1",35,31,4,7,0,0,2,4,4,0,9,0,0,0,0,0,0,0,0.221,0.302,0.347,0.649,7,10,R,E.Morgan(52)
15,15,4/23/22,,CLE,"W,5-4",36,31,5,9,1,0,1,5,4,0,6,0,0,1,0,1,1,1,0.225,0.306,0.352,0.658,5,11,R,C.Quantrill(48)
16,16,4/24/22,,CLE,"W,10-2",40,35,10,13,5,0,3,10,3,0,9,1,0,1,0,1,1,0,0.235,0.314,0.38,0.694,6,11,R,A.Civale(23)
17,17,4/26/22,,BAL,"W,12-8",40,38,12,13,1,1,5,12,2,0,9,0,0,0,1,0,0,0,0.242,0.318,0.409,0.727,4,10,R,J.Lyles(28)
18,18,4/27/22,,BAL,"W,5-2",34,31,5,8,0,0,2,4,2,0,9,0,0,1,0,0,1,0,0.243,0.317,0.411,0.728,5,10,R,T.Wells(57)
19,19,4/28/22,,BAL,"W,10-5",40,34,10,12,3,0,1,9,4,0,9,1,0,1,2,2,1,1,0.249,0.323,0.418,0.741,6,9,L,B.Zimmermann(39)
20,20,4/29/22,@,KCR,"W,12-2",39,36,12,10,2,0,4,11,2,0,7,1,0,0,1,0,0,0,0.25,0.323,0.431,0.755,3,12,L,K.Bubic(50)
21,21,4/30/22,@,KCR,"W,3-0",40,30,3,8,1,0,0,2,8,1,5,0,0,2,0,1,0,2,0.251,0.327,0.426,0.753,10,10,R,C.Hernandez(42)
22,22,5/1/22,@,KCR,"W,6-4",40,34,6,8,1,0,2,6,5,1,7,1,0,0,0,1,0,0,0.25,0.328,0.426,0.755,7,12,L,D.Lynch(50)
23,23,5/2/22,@,TOR,"W,3-2",35,35,3,8,1,0,1,3,0,0,6,0,0,0,0,0,3,0,0.249,0.324,0.423,0.747,5,10,R,R.Stripling(45)
24,24,5/3/22,@,TOR,"W,9-1",41,38,9,10,4,0,2,9,3,0,12,0,0,0,1,0,0,1,0.25,0.324,0.428,0.752,5,10,R,A.Manoah(68)
25,25,5/4/22,@,TOR,"L,1-2",35,31,1,5,1,0,1,1,4,0,10,0,0,0,0,1,0,0,0.247,0.322,0.422,0.744,7,13,L,Y.Kikuchi(68)
26,26,5/8/22,,TEX,"W,2-1",34,29,2,5,0,0,1,2,3,0,6,0,1,1,3,1,0,0,0.244,0.319,0.417,0.736,8,9,R,D.Dunning(66)
27,27,5/8/22,,TEX,"L,2-4",36,29,2,3,0,0,1,2,6,0,6,1,0,0,0,1,3,0,0.24,0.317,0.411,0.728,7,12,R,G.Otto(54)
28,28,5/9/22,,TEX,"W,1-0",31,27,1,5,1,0,0,1,4,0,9,0,0,0,0,1,0,0,0.238,0.317,0.405,0.722,6,10,R,J.Gray(60)
29,29,5/10/22,,TOR,"W,6-5",38,30,6,5,1,0,2,6,7,0,10,1,0,0,0,0,0,0,0.236,0.318,0.405,0.722,7,11,L,Y.Kikuchi(60)
30,30,5/11/22,,TOR,"W,5-3",33,32,5,8,1,0,1,5,1,0,6,0,0,0,0,0,0,0,0.236,0.316,0.404,0.72,4,9,R,J.Berrios(41)
31,31,5/12/22,@,CHW,"W,15-7",48,40,15,15,2,1,4,15,7,0,14,0,0,1,0,1,0,0,0.242,0.322,0.418,0.741,6,12,R,D.Cease(35)
32,32,5/13/22,@,CHW,"W,10-4",44,39,10,14,2,0,4,10,4,0,7,0,0,1,0,0,1,0,0.246,0.325,0.43,0.755,7,10,R,V.Velasquez(24)
33,33,5/14/22,@,CHW,"L,2-3",37,32,2,9,1,0,0,2,4,0,8,0,0,1,0,2,3,0,0.247,0.326,0.426,0.752,8,10,L,D.Keuchel(59)
34,34,5/15/22,@,CHW,"W,5-1",34,29,5,2,0,0,1,4,5,0,6,0,0,0,0,0,0,0,0.242,0.323,0.419,0.742,2,9,R,M.Kopech(57)
35,35,5/16/22,@,BAL,"W,6-2",42,37,6,11,1,0,3,6,5,0,10,0,0,0,0,0,0,0,0.244,0.325,0.424,0.749,9,9,R,K.Bradish(34)
36,36,5/17/22,@,BAL,"W,5-4",43,37,5,11,4,0,2,4,4,0,3,2,0,0,1,1,0,0,0.246,0.327,0.429,0.756,11,10,R,S.Watkins(44)
37,37,5/18/22,@,BAL,"W,3-2",34,33,3,6,2,0,0,1,1,0,10,0,0,0,0,0,0,0,0.244,0.324,0.424,0.748,4,9,R,J.Lyles(65)
38,38,5/19/22,@,BAL,"L,6-9",40,34,6,10,1,0,1,6,6,0,8,0,0,0,0,3,1,0,0.245,0.326,0.423,0.749,7,12,L,B.Zimmermann(34)
39,39,5/21/22,,CHW,"W,7-5",37,30,7,8,0,0,1,7,6,1,3,0,0,1,0,1,0,0,0.246,0.327,0.422,0.749,6,9,L,D.Keuchel(23)
40,40,5/22/22,,CHW,"L,1-3",36,33,1,8,1,0,1,1,3,1,9,0,0,0,0,0,0,0,0.246,0.327,0.421,0.747,8,10,R,J.Cueto(63)
41,41,5/22/22,,CHW,"L,0-5",32,30,0,3,2,0,0,0,2,0,7,0,0,0,0,0,0,0,0.243,0.323,0.415,0.738,5,9,R,M.Kopech(79)
42,42,5/23/22,,BAL,"L,4-6",36,31,4,5,0,0,2,4,4,0,9,1,0,0,0,2,0,0,0.241,0.322,0.414,0.736,5,10,R,J.Lyles(56)
43,43,5/24/22,,BAL,"W,7-6",45,40,7,11,0,0,4,7,4,1,12,1,0,0,0,2,0,0,0.242,0.323,0.418,0.741,9,10,L,B.Zimmermann(50)
44,44,5/25/22,,BAL,"W,2-0",30,30,2,6,1,0,0,1,0,0,5,0,0,0,0,0,1,0,0.241,0.321,0.414,0.735,4,9,R,T.Wells(51)
45,45,5/26/22,@,TBR,"W,7-2",39,32,7,6,1,0,0,4,5,0,6,1,0,1,0,0,1,0,0.24,0.321,0.41,0.731,5,9,L,R.Yarbrough(58)
46,46,5/27/22,@,TBR,"W,2-0",34,33,2,6,1,0,2,2,1,0,10,0,0,0,0,0,0,0,0.238,0.318,0.41,0.728,5,9,L,J.Springs(60)
47,47,5/28/22,@,TBR,"L,1-3",29,28,1,4,1,0,0,1,0,0,9,0,0,1,0,1,0,0,0.237,0.315,0.406,0.721,1,11,R,C.Kluber(67)
48,48,5/29/22,@,TBR,"L,2-4",36,36,2,9,0,0,2,2,0,0,9,0,0,0,1,1,1,0,0.237,0.314,0.406,0.72,7,11,L,S.McClanahan(61)
49,49,5/31/22,,LAA,"W,9-1",38,34,9,13,4,0,2,9,3,0,5,0,0,1,0,1,1,1,0.24,0.316,0.412,0.728,5,9,R,N.Syndergaard(22)
50,50,6/2/22,,LAA,"W,6-1",38,35,6,13,2,0,4,6,2,1,6,0,0,1,0,1,0,0,0.243,0.318,0.419,0.737,8,10,R,S.Ohtani(28)
51,51,6/2/22,,LAA,"W,2-1",36,30,2,7,2,0,0,2,6,0,9,0,0,0,0,0,3,1,0.243,0.319,0.417,0.736,10,11,L,R.Detmers(54)
