Gtm,Date,At,Opp,Rslt,R
1,8-Apr,,BOS,"W,6-5",6
2,9-Apr,,BOS,"W,4-2",4
3,10-Apr,,BOS,"L,3-4",3
4,11-Apr,,TOR,"L,0-3",0
5,12-Apr,,TOR,"W,4-0",4
6,13-Apr,,TOR,"L,4-6",4
7,14-Apr,,TOR,"W,3-0",3
8,15-Apr,@,BAL,"L,1-2",1
9,16-Apr,@,BAL,"W,5-2",5
10,17-Apr,@,BAL,"L,0-5",0
11,19-Apr,@,DET,"W,4-2",4
12,20-Apr,@,DET,"W,5-3",5
13,21-Apr,@,DET,"L,0-3",0
14,22-Apr,,CLE,"W,4-1",4
15,23-Apr,,CLE,"W,5-4",5
16,24-Apr,,CLE,"W,10-2",10
17,26-Apr,,BAL,"W,12-8",12
18,27-Apr,,BAL,"W,5-2",5
19,28-Apr,,BAL,"W,10-5",10
20,29-Apr,@,KCR,"W,12-2",12
21,30-Apr,@,KCR,"W,3-0",3
22,1-May,@,KCR,"W,6-4",6
23,2-May,@,TOR,"W,3-2",3
24,3-May,@,TOR,"W,9-1",9
25,4-May,@,TOR,"L,1-2",1
26,May 8 (1),,TEX,"W,2-1",2
27,May 8 (2),,TEX,"L,2-4",2
28,9-May,,TEX,"W,1-0",1
29,10-May,,TOR,"W,6-5",6
30,11-May,,TOR,"W,5-3",5
31,12-May,@,CHW,"W,15-7",15
32,13-May,@,CHW,"W,10-4",10
33,14-May,@,CHW,"L,2-3",2
34,15-May,@,CHW,"W,5-1",5
35,16-May,@,BAL,"W,6-2",6
36,17-May,@,BAL,"W,5-4",5
37,18-May,@,BAL,"W,3-2",3
38,19-May,@,BAL,"L,6-9",6
39,21-May,,CHW,"W,7-5",7
40,May 22 (1),,CHW,"L,1-3",1
41,May 22 (2),,CHW,"L,0-5",0
42,23-May,,BAL,"L,4-6",4
43,24-May,,BAL,"W,7-6",7
44,25-May,,BAL,"W,2-0",2
45,26-May,@,TBR,"W,7-2",7
46,27-May,@,TBR,"W,2-0",2
47,28-May,@,TBR,"L,1-3",1
48,29-May,@,TBR,"L,2-4",2
49,31-May,,LAA,"W,9-1",9
50,Jun 2 (1),,LAA,"W,6-1",6
51,Jun 2 (2),,LAA,"W,2-1",2
52,3-Jun,,DET,"W,13-0",13
53,4-Jun,,DET,"W,3-0",3
54,5-Jun,,DET,"W,5-4",5
55,7-Jun,@,MIN,"W,10-4",10
56,8-Jun,@,MIN,"L,1-8",1
57,9-Jun,@,MIN,"W,10-7",10
58,10-Jun,,CHC,"W,2-1",2
59,11-Jun,,CHC,"W,8-0",8
60,12-Jun,,CHC,"W,18-4",18
61,14-Jun,,TBR,"W,2-0",2
62,15-Jun,,TBR,"W,4-3",4
63,16-Jun,,TBR,"W,2-1",2
64,17-Jun,@,TOR,"W,12-3",12
65,18-Jun,@,TOR,"W,4-0",4
66,19-Jun,@,TOR,"L,9-10",9
67,20-Jun,@,TBR,"W,4-2",4
68,21-Jun,@,TBR,"L,4-5",4
69,22-Jun,@,TBR,"W,5-4",5
70,23-Jun,,HOU,"W,7-6",7
71,24-Jun,,HOU,"L,1-3",1
72,25-Jun,,HOU,"L,0-3",0
73,26-Jun,,HOU,"W,6-3",6
74,27-Jun,,OAK,"W,9-5",9
75,28-Jun,,OAK,"W,2-1",2
76,29-Jun,,OAK,"W,5-3",5
77,30-Jun,@,HOU,"L,1-2",1
78,Jul 2 (1),@,CLE,"W,13-4",13
79,Jul 2 (2),@,CLE,"W,6-1",6
80,3-Jul,@,CLE,"L,0-2",0
81,5-Jul,@,PIT,"L,2-5",2
82,6-Jul,@,PIT,"W,16-0",16
83,7-Jul,@,BOS,"W,6-5",6
84,8-Jul,@,BOS,"W,12-5",12
85,9-Jul,@,BOS,"L,5-6",5
86,10-Jul,@,BOS,"L,6-11",6
87,12-Jul,,CIN,"L,3-4",3
88,13-Jul,,CIN,"W,7-6",7
89,14-Jul,,CIN,"L,6-7",6
90,15-Jul,,BOS,"L,4-5",4
91,16-Jul,,BOS,"W,14-1",14
92,17-Jul,,BOS,"W,13-2",13
93,Jul 21 (1),@,HOU,"L,2-3",2
94,Jul 21 (2),@,HOU,"L,5-7",5
95,22-Jul,@,BAL,"W,7-6",7
96,23-Jul,@,BAL,"L,3-6",3
97,24-Jul,@,BAL,"W,6-0",6
98,26-Jul,@,NYM,"L,3-6",3
99,27-Jul,@,NYM,"L,2-3",2
100,28-Jul,,KCR,"W,1-0",1
101,29-Jul,,KCR,"W,11-5",11
102,30-Jul,,KCR,"W,8-2",8
103,31-Jul,,KCR,"L,6-8",6
104,1-Aug,,SEA,"W,7-2",7
105,2-Aug,,SEA,"L,6-8",6
106,3-Aug,,SEA,"L,3-7",3
