Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,625,1,Apr 8,NYY,,BOS,"W,6-5",9-Sep,,99,1,0,0,0,0,2,0,0,0,-0.88,3,12,8,2,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.84,0.142,1.79,0.08%,0.52,6.25,9,9t --- 0 out tie,9t 3 out tie
2,626,2,Apr 9,NYY,,BOS,"W,4-2",9-GF,S(1),0,1,0,0,0,0,1,0,0,0,0.12,4,12,10,2,4,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.49,0.077,1.54,0.05%,0.52,4.25,6,9t --- 0 out a2,9t end a 2
3,627,5,Apr 12,NYY,,TOR,"W,4-0",9-GF,,2,1,0,0,0,0,2,0,0,0,-0.21,3,14,11,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.19,0.015,0.2,0.01%,0.52,6.25,9,9t --- 0 out a4,9t end a 4
4,628,7,Apr 14,NYY,,TOR,"W,3-0",9-Sep,,1,0,0,0,0,3,0,0,0,0,2.79,3,16,4,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.02,-0.236,2.06,-0.14%,-1.84,-1.8,0,9t --- 0 out a3,9t 123 0 out a3
5,629,8,Apr 15,NYY,@,BAL,"L,1-2",11-GF(11),,0,0.1,0,0,0,1,1,0,0,0,3.12,2,10,6,3,1,0,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,5.94,-0.164,6.26,-0.10%,-0.18,2.15,4,11b 123 1 out tie,11b end d 1
6,630,11,Apr 19,NYY,@,DET,"W,4-2",9-GF,S(2),3,1,0,0,0,0,1,0,0,0,2.66,3,9,7,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.19,0.091,1.23,0.06%,0.5,4.25,6,9b --- 0 out a2,9b end a 2
7,631,12,Apr 20,NYY,@,DET,"W,5-3",9-GF,S(3),0,1,1,0,0,0,0,0,0,0,2.75,4,15,12,4,0,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.38,0.091,2.56,0.06%,0.5,1.65,3,9b --- 0 out a2,9b end a 2
8,632,14,Apr 22,NYY,,CLE,"W,4-1",9-GF,S(4),1,1,1,0,0,0,2,0,0,0,2.17,4,18,13,6,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.94,0.035,0.97,0.02%,0.52,5.65,9,9t --- 0 out a3,9t end a 3
9,633,17,Apr 26,NYY,,BAL,"W,12-8",9-GF,,3,1,0,0,0,2,2,0,0,0,2.57,5,24,13,5,4,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.44,0.015,0.52,0.01%,0.52,5.05,9,9t --- 0 out a4,9t end a 4
10,634,21,Apr 30,NYY,@,KCR,"W,3-0",9-GF,S(5),3,1,0,0,0,0,0,0,0,0,2.64,3,11,7,3,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.59,0.047,0.73,0.03%,0.55,2.25,3,9b --- 0 out a3,9b end a 3
11,635,22,May 1,NYY,@,KCR,"W,6-4",9-GF,S(6),0,1,1,0,0,1,0,0,0,0,3.01,5,16,9,1,3,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.82,0.101,2.17,0.07%,0.55,1.05,3,9b --- 0 out a2,9b end a 2
12,636,28,May 9,NYY,,TEX,"W,1-0",9-GF,S(7),7,1,1,0,0,0,0,0,0,0,3.02,4,20,11,2,1,1,3,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,2.66,0.167,3.26,0.12%,0.52,1.65,3,9t --- 0 out a1,9t end a 1
13,637,30,May 11,NYY,,TOR,"W,5-3",9-GF,S(8),1,1,1,1,1,1,1,0,0,0.79,3.12,5,18,10,2,3,0,3,2,1,0,,0,0,0,0,0,3,1,0,0,0,1,0,1.72,0.035,2.29,0.03%,-0.48,1.05,3,9t --- 0 out a3,9t end a 2
14,638,33,May 14,NYY,@,CHW,"L,2-3",9-GF,L(0-1),2,0.1,2,1,1,1,0,0,0,1.54,3.38,4,16,8,3,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.84,-0.357,3.18,-0.24%,-1.41,-3.05,-2,9b --- 0 out tie,9b end d 1
15,639,35,May 16,NYY,@,BAL,"W,6-2",9-GF,,1,1,1,1,1,0,2,1,0,2.13,4.07,4,17,13,4,2,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.14,0.009,0.16,0.01%,-0.46,3.65,6,9b --- 0 out a5,9b end a 4
16,640,36,May 17,NYY,@,BAL,"W,5-4",9-GF,S(9),0,1,3,1,1,0,1,0,0,2.63,3.85,6,18,11,3,1,1,4,2,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,2.91,0.099,3.09,0.06%,-0.46,0.45,3,9b --- 0 out a2,9b end a 1
17,641,40,May 22,NYY,,CHW,"L,1-3",9-Sep,L(0-2),4,0.1,2,2,2,1,0,1,0,3.86,4.98,4,16,8,2,2,0,3,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.04,-0.438,1.08,-0.27%,-2.19,-5.05,-5,9t --- 0 out tie,9t -2- 1 out d2
18,642,78,Jul 2,NYY,@,CLE,"W,13-4",7-Jul,,40,0,0,2,2,3,0,0,0,5.14,5.62,3,19,7,3,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.21,-0.025,0.08,-0.01%,-1.85,-5.8,-6,7b --- 0 out a8,7b 123 0 out a8
19,643,81,Jul 5,NYY,@,PIT,"L,2-5",8-GF(8),,2,1,0,0,0,0,0,0,0,4.8,5.45,3,11,7,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.02,0.00%,0.5,2.25,3,8b --- 0 out d3,8b end d 3
20,644,82,Jul 6,NYY,@,PIT,"W,16-0",8-Aug,,0,1,0,0,0,0,1,0,0,4.5,5.18,3,10,7,3,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.00%,0.5,4.25,6,8b --- 0 out a10,8b 3 out a10
21,645,86,Jul 10,NYY,@,BOS,"L,6-11",6-Jun,L(0-3),3,1,1,1,1,2,2,0,0,4.76,5.18,6,27,15,7,3,0,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,1,0,2.14,-0.101,0.51,-0.01%,-0.43,2.45,6,6b --- 0 out tie,6b 3 out d1
22,646,88,Jul 13,NYY,,CIN,"W,7-6",8-Aug,,2,1,0,0,0,1,1,0,0,4.5,5.12,4,20,11,2,5,1,1,0,1,0,,0,0,0,1,1,3,0,0,0,0,0,1,0.78,0.048,0.18,0.01%,0.47,3.65,6,8t --- 0 out d1,8t 3 out d1
23,647,90,Jul 15,NYY,,BOS,"L,4-5",7-Jul,,1,1,1,1,1,0,2,1,0,4.74,5.49,4,25,16,4,3,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.92,-0.15,0.23,-0.02%,-0.53,3.65,6,7t --- 0 out tie,7t 3 out d1
24,648,94,Jul 21,NYY,@,HOU,"L,5-7",7-Jul,,5,1,0,0,0,0,2,0,0,4.5,5.17,4,14,10,1,1,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,0.05,0.003,0.02,0.00%,0.48,6.25,9,7b --- 0 out d5,7b 3 out d5
25,649,95,Jul 22,NYY,@,BAL,"W,7-6",7-Jul,,0,0.1,2,3,3,1,1,1,0,5.75,5.82,4,20,12,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.09,-0.24,0.33,-0.04%,-2.77,-5.05,-5,7b --- 0 out a4,7b --- 1 out a1
26,650,98,Jul 26,NYY,@,NYM,"L,3-6",6-Jun,,3,1,0,0,0,0,1,0,0,5.48,5.6,3,10,8,1,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.37,0.029,0.09,0.00%,0.49,4.25,6,6b --- 0 out d2,6b 3 out d2
27,651,101,Jul 29,NYY,,KCR,"W,11-5",7-Jul,,2,1,0,0,0,0,1,0,0,5.24,5.4,3,9,7,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.43,0.032,0.11,0.01%,0.47,4.25,6,7t --- 0 out d2,7t 3 out d2
28,652,102,Jul 30,NYY,,KCR,"W,8-2",6-Jun,,0,1,0,0,0,0,2,0,0,5.01,5.13,3,13,9,2,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.03,0.08,0.00%,0.47,6.25,9,6t --- 0 out a4,6t 3 out a4
29,653,104,Aug 1,NYY,,SEA,"W,7-2",7-Jul,,1,1,1,0,0,0,1,0,0,4.81,4.97,3,12,7,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.53,0.026,0.11,0.00%,0.47,3.65,6,7t --- 0 out a4,7t 3 out a4
30,654,108,Aug 6,NYY,@,STL,"L,0-1",8-GF(8),,4,1,0,0,0,1,0,0,0,4.62,5.01,3,13,7,1,3,0,2,1,0,0,,0,0,0,1,1,2,0,0,0,0,0,0,0.49,0.029,0.15,0.01%,0.47,1.65,3,8b --- 0 out d1,8b end d 1
31,655,110,Aug 8,NYY,@,SEA,"W,9-4",8-Aug,,1,1,1,0,0,0,1,0,0,4.44,4.87,4,17,10,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.32,0.024,0.13,0.01%,0.45,3.65,6,8b --- 0 out a4,8b 3 out a4
32,656,111,Aug 9,NYY,@,SEA,"L,0-1",8-Aug,,0,1,1,0,0,0,0,0,0,4.28,4.8,4,22,16,1,2,0,4,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.47,0.101,0.43,0.02%,0.45,1.65,3,8b --- 0 out tie,8b 3 out tie
33,657,113,Aug 12,NYY,@,BOS,"L,2-3",8-Aug,H(1),2,1,0,0,0,0,2,0,0,4.13,4.6,3,11,8,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.144,0.64,0.03%,0.52,6.25,9,8b --- 0 out a1,8b 3 out a1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
