Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,117,1,Apr 8,NYY,,BOS,"W,6-5",6-Jun,,99,0.2,3,1,1,0,0,0,0,13.5,3.12,5,14,10,0,2,4,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.49,-0.15,1.45,-0.09%,-0.93,-2.3,-1,6t --- 0 out tie,6t 12- 2 out d1
2,118,2,Apr 9,NYY,,BOS,"W,4-2",8-Aug,H(1),0,1,0,0,0,1,1,0,0,5.4,3.72,4,9,5,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.06,0.077,1.09,0.05%,0.52,3.65,6,8t --- 0 out a2,8t 3 out a2
3,119,5,Apr 12,NYY,,TOR,"W,4-0",6-May,W(1-0),2,1.2,0,0,0,0,2,0,0,2.7,2.22,5,23,15,2,5,2,1,0,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,0.83,0.113,0.85,0.07%,1.22,11.75,17,5t -2- 1 out a3,6t 3 out a3
4,120,7,Apr 14,NYY,,TOR,"W,3-0",8-Jul,H(2),1,0.2,1,0,0,0,1,0,0,2.25,1.87,3,7,7,2,2,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.21,0.027,1.23,0.02%,0.22,2.9,5,7t 1-- 2 out a2,8t 1-- 1 out a2
5,121,9,Apr 16,NYY,@,BAL,"W,5-2",8-GF,S(1),1,1.1,0,0,0,0,1,0,0,1.69,1.81,4,9,9,4,2,3,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,0.93,0.097,0.94,0.06%,0.99,5,7,8b 12- 2 out a3,9b end a 3
6,122,11,Apr 19,NYY,@,DET,"W,4-2",7-Jul,H(3),2,0.2,1,0,0,1,1,0,0,1.5,2.12,4,15,8,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.01,0.059,3.1,0.04%,0.26,2.3,5,7b --- 1 out a1,7b 3 out a1
7,123,12,Apr 20,NYY,@,DET,"W,5-3",8-Aug,H(4),0,1,0,0,0,0,2,0,0,1.29,1.69,3,8,7,1,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.089,1.25,0.06%,0.5,6.25,9,8b --- 0 out a2,8b 3 out a2
8,124,15,Apr 23,NYY,,CLE,"W,5-4",7-Jul,,2,0.2,0,0,0,0,0,0,0,1.17,1.82,2,12,8,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.95,0.047,1.01,0.03%,0.25,1.5,2,7t --- 1 out tie,7t 3 out tie
9,125,17,Apr 26,NYY,,BAL,"W,12-8",7-Jul,H(5),2,1,1,0,0,0,1,0,0,1.04,1.74,4,18,15,3,2,1,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.44,0.053,1.68,0.04%,0.15,3.65,6,7t -2- 0 out a3,7t 3 out a2
10,126,18,Apr 27,NYY,,BAL,"W,5-2",9-GF,S(2),0,1,0,0,0,0,2,0,0,0.93,1.46,3,19,12,6,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.45,0.035,0.51,0.02%,0.52,6.25,9,9t --- 0 out a3,9t end a 3
11,127,21,Apr 30,NYY,@,KCR,"W,3-0",8-Aug,H(6),2,1,1,0,0,0,0,0,1,0.84,1.9,5,11,7,1,0,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.99,0.058,1.22,0.04%,0.55,1.05,3,8b --- 0 out a3,8b 3 out a3
12,128,23,May 2,NYY,@,TOR,"W,3-2",8-Jul,W(2-0),1,1.1,2,0,0,0,1,0,0,0.75,1.87,5,14,11,0,2,3,1,1,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,2.5,0.21,3.46,0.17%,1.16,7.8,13,7b -23 2 out tie,8b 3 out tie
