Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,627,1,4/8/22,NYY,,BOS,"W,6-5",CG(11),5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.2,0,0.2,6,2.35,-0.037,2.34,-0.02%,-0.69,2,3,LF
2,628,2,4/9/22,NYY,,BOS,"W,4-2",CG,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.167,0.375,0.167,0.542,6,0.56,0.005,0.58,0.00%,-0.01,5,6,LF
3,629,3,4/10/22,NYY,,BOS,"L,3-4",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.1,0.308,0.1,0.408,5,2.2,-0.212,2.29,-0.13%,-1.27,2,3,LF
4,630,4,4/11/22,NYY,,TOR,"L,0-3",CG,4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.231,0.412,0.231,0.643,5,0.84,0.106,0.88,0.07%,0.94,8,9,LF
5,631,5,4/12/22,NYY,,TOR,"W,4-0",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.231,0.412,0.231,0.643,4,,,,,,0,0,LF
6,632,6,4/13/22,NYY,,TOR,"L,4-6",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.188,0.381,0.188,0.568,4,1.19,-0.057,1.26,-0.04%,-0.42,2,3,LF
7,633,7,4/14/22,NYY,,TOR,"W,3-0",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.158,0.333,0.158,0.491,6,0.76,-0.059,0.78,-0.04%,-0.8,0,0,LF
8,634,8,4/15/22,NYY,@,BAL,"L,1-2",CG(11),5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.167,0.31,0.167,0.477,4,1.63,-0.154,1.71,-0.10%,-0.84,3,3,LF
9,635,9,4/16/22,NYY,@,BAL,"W,5-2",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.143,0.294,0.143,0.437,6,0.66,-0.056,0.67,-0.03%,-0.78,2,3,LF
10,636,10,4/17/22,NYY,@,BAL,"L,0-5",7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.286,0.138,0.424,9,1.16,-0.03,1.24,-0.02%,-0.17,0,0,PH LF
11,637,11,4/19/22,NYY,@,DET,"W,4-2",CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.121,0.256,0.121,0.378,7,1.18,-0.123,1.22,-0.08%,-1.33,0,0,LF
