Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,474,1,4/1/22,TEX,@,KCR,"L,10-14",CG,6,3,1,2,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0.667,0.833,0.667,1.5,3,1.05,0.204,1.03,0.12%,2.97,23,31.2,RF
2,475,2,4/3/22,TEX,@,KCR,"L,4-11",CG,4,2,2,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0.6,0.8,1.2,2,3,0.51,0.166,0.48,0.09%,2.44,22,31.4,RF
3,476,3,4/4/22,TEX,@,KCR,"W,7-3",CG,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.667,0.8,1.467,3,0.52,0.042,0.43,0.02%,-0.14,8,9.2,RF
4,477,4,4/5/22,TEX,,TOR,"L,2-6",CG,4,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.385,0.579,0.615,1.194,3,0.61,-0.012,0.53,-0.01%,-0.48,2,3,RF
5,478,5,4/6/22,TEX,,TOR,"W,7-4",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.313,0.522,0.5,1.022,3,0.67,-0.067,0.59,-0.04%,-0.57,2,3,RF
6,479,6,4/7/22,TEX,,TOR,"W,2-1",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0.481,0.45,0.931,3,0.45,-0.021,0.4,-0.01%,-0.25,3,3,DH
7,480,7,4/9/22,TEX,,SDP,"L,0-3",CG,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.273,0.467,0.409,0.876,3,0.5,-0.015,0.44,-0.01%,-0.15,2,3,RF
8,481,8,4/10/22,TEX,,SDP,"L,4-7",CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.269,0.441,0.385,0.826,3,0.79,-0.056,0.68,-0.03%,-0.33,3,3,RF
9,482,9,4/11/22,TEX,,SDP,"L,0-2",CG,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.25,0.447,0.357,0.805,3,1.68,-0.038,1.32,-0.02%,0,9,12,RF
10,483,10,4/12/22,TEX,@,TBR,"L,0-1",CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.233,0.452,0.333,0.786,3,1.2,0.039,0.94,0.02%,0.07,4,6,RF
11,484,11,4/13/22,TEX,@,TBR,"W,8-3",CG,5,5,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0.257,0.447,0.343,0.79,3,0.5,0.03,0.38,0.01%,0.41,8,9.5,RF
12,485,12,4/14/22,TEX,@,TBR,"W,5-1",CG,4,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.27,0.471,0.351,0.822,3,0.71,0.06,0.57,0.03%,0.74,9,12.2,RF
13,486,13,4/15/22,TEX,@,TBR,"W,6-4",CG(10),5,3,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.275,0.482,0.35,0.832,3,1.5,-0.03,1.32,-0.02%,0.3,9,12.2,DH
14,487,14,4/16/22,TEX,,BAL,"L,2-5",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.256,0.467,0.326,0.792,3,0.56,-0.03,0.52,-0.02%,-0.33,2,3,RF
15,488,15,4/17/22,TEX,,BAL,"L,1-6",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.239,0.453,0.304,0.757,3,1.33,-0.075,1.12,-0.04%,-0.95,2,3,RF
16,489,17 (1),4/19/22,TEX,@,LAA,"W,6-4",CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.224,0.441,0.286,0.727,3,0.57,0.003,0.56,0.00%,-0.21,4,6.2,RF
17,490,18,4/20/22,TEX,@,LAA,"L,2-6",CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.231,0.444,0.288,0.733,3,1.09,0.093,1.1,0.06%,0.92,7,9.5,RF
18,491,19,4/21/22,TEX,@,LAA,"W,7-4",CG,5,2,2,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0.222,0.455,0.278,0.732,3,1.1,0.095,1.05,0.06%,1.42,12,18.9,RF
19,492,20,4/23/22,TEX,@,CHW,"L,7-9",CG,5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.207,0.439,0.259,0.698,3,1.36,-0.132,1.23,-0.07%,-1.22,2,3,RF
20,493,21,4/24/22,TEX,@,CHW,"L,1-2",CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.226,0.442,0.274,0.716,3,1.28,-0.023,1.12,-0.01%,-0.08,6,6,RF
21,494,22,4/25/22,TEX,@,CHW,"L,4-8",CG,4,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.242,0.444,0.288,0.732,3,0.7,-0.001,0.56,0.00%,0.62,8,9.2,RF
22,495,23,4/26/22,TEX,,LAA,"L,4-9",CG,4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.232,0.436,0.275,0.712,3,0.79,-0.015,0.66,-0.01%,-0.25,4,6.2,RF
23,496,24,4/27/22,TEX,,LAA,"W,6-1",CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0.236,0.439,0.319,0.758,3,0.59,0.21,0.44,0.09%,1.19,18,25.2,RF
24,497,25,4/28/22,TEX,,LAA,"L,3-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.224,0.422,0.303,0.724,3,1.7,-0.172,1.38,-0.08%,-1.22,0,0,RF
25,498,26,4/29/22,TEX,,BOS,"W,4-1",CG,4,4,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0.225,0.415,0.313,0.728,3,0.66,0.039,0.45,0.02%,0.09,7,9.2,DH
