Date,wRC,wRAA,wOBA,wRC+
4/8/22,1.059210526,0.6,0.459,202
4/9/22,-0.940789474,-1,0,-100
4/10/22,0.059210526,-0.5,0.177,10
4/12/22,2.059210526,1,0.567,276
4/13/22,1.059210526,0.5,0.429,182
4/14/22,1.059210526,0.5,0.429,182
4/15/22,0.059210526,-0.4,0.172,7
4/16/22,-0.940789474,-1,0,-100
4/17/22,2.059210526,1.6,0.707,372
4/18/22,2.059210526,1.5,0.689,360
4/19/22,-0.940789474,-1,0,-100
4/20/22,3.059210526,2.1,0.959,544
4/22/22,1.059210526,0.7,0.491,225
4/23/22,0.059210526,-0.4,0.172,7
4/24/22,1.059210526,0.7,0.517,242
4/25/22,1.059210526,0.5,0.429,182
4/26/22,1.059210526,0.3,0.393,158
4/27/22,-0.940789474,-1,0,-100
4/29/22,1.059210526,0.3,0.393,158
4/30/22,0.059210526,-0.4,0.172,7
5/1/22,1.059210526,0.7,0.536,255
5/3/22,0.059210526,-0.4,0.172,7
5/4/22,1.059210526,0.8,0.572,280
5/7/22,1.059210526,0,0.315,104
5/7/22,2.059210526,2,0.946,535
5/8/22,1.059210526,0.5,0.429,182
5/9/22,1.059210526,0.1,0.352,130
5/10/22,0.059210526,0,0.315,104
5/11/22,1.059210526,0.3,0.393,158
5/12/22,0.059210526,-0.5,0.177,10
5/13/22,2.059210526,0.9,0.492,225
5/14/22,0.059210526,-0.4,0.172,7
5/15/22,0.059210526,-0.4,0.172,7
5/16/22,1.059210526,0.9,0.536,255
5/17/22,3.059210526,2.5,0.946,535
5/17/22,0.059210526,-0.3,0.221,40
5/18/22,0.059210526,-0.3,0.221,40
5/20/22,1.059210526,0.9,0.53,251
5/21/22,-0.940789474,-1.2,0,-100
5/22/22,-0.940789474,-1.2,0,-100
5/23/22,2.059210526,1.5,0.681,354
5/24/22,0.059210526,-0.7,0.138,-17
5/25/22,-0.940789474,-1,0,-100
5/26/22,4.059210526,3.1,1.095,637
5/27/22,0.059210526,-0.3,0.221,40
