Date,wRC,wRAA,wOBA,wRC+
4/8/22,1.026490066,0.5,0.429,186
4/9/22,0.026490066,-0.4,0.172,5
4/10/22,1.026490066,0.2,0.354,133
4/11/22,0.026490066,-0.4,0.172,5
4/12/22,0.026490066,0,0.315,106
4/13/22,2.026490066,1.7,0.728,397
4/14/22,0.026490066,0,0.315,106
4/15/22,0.026490066,-0.2,0,-100
4/16/22,1.026490066,0.3,0.393,161
4/17/22,0.026490066,-0.4,0.172,5
4/19/22,0.026490066,-0.5,0.177,9
4/20/22,0.026490066,0,0.315,106
4/21/22,1.026490066,0.3,0.393,161
4/22/22,3.026490066,2.9,1.207,734
4/23/22,-0.973509934,-1,0,-100
4/24/22,1.026490066,0.6,0.487,227
4/26/22,2.026490066,1.1,0.591,300
4/27/22,1.026490066,0.4,0.442,195
4/28/22,2.026490066,1.1,0.591,300
4/29/22,1.026490066,0.7,0.517,249
5/1/22,3.026490066,2.1,0.828,467
5/2/22,0.026490066,-0.3,0.221,40
5/3/22,2.026490066,1.4,0.666,353
5/4/22,0.026490066,-0.4,0.172,5
5/8/22,-0.973509934,-1,0,-100
5/8/22,1.026490066,0.3,0.393,161
5/9/22,1.026490066,0.3,0.393,161
5/10/22,2.026490066,1.1,0.591,300
5/11/22,0.026490066,-0.3,0.221,40
5/12/22,2.026490066,1.4,0.607,312
5/13/22,3.026490066,2.2,0.866,494
5/14/22,1.026490066,0.3,0.393,161
5/15/22,-0.973509934,-1,0,-100
5/17/22,4.026490066,3.8,1.257,769
5/18/22,-0.973509934,-1,0,-100
5/19/22,1.026490066,0.6,0.452,203
5/21/22,0.026490066,0,0.295,92
5/22/22,0.026490066,0,0.315,106
5/22/22,3.026490066,2.1,0.959,560
5/23/22,3.026490066,2.9,1.207,734
5/24/22,-0.973509934,-1.2,0,-100
5/25/22,0.026490066,0,0.315,106
5/26/22,1.026490066,0,0.315,106
5/27/22,-0.973509934,-1,0,-100
5/28/22,0.026490066,-0.3,0.221,40
5/29/22,2.026490066,1.4,0.738,404
5/31/22,0.026490066,-0.7,0.138,-19
6/2/22,0.026490066,-0.4,0.172,5
