Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2018,25,TEX,AL,3,8,8,0,2,0,0,0,3,0,0,0,1,0.25,0.25,0.25,0.5,33,2,1,0,0,0,0,/2H,
2019,26,TEX,AL,40,126,120,18,31,9,0,2,13,0,0,3,27,0.258,0.272,0.383,0.655,64,46,6,0,1,2,0,2/H,
2020,27,TEX,AL,24,83,76,10,19,8,0,2,9,0,0,3,15,0.25,0.28,0.434,0.715,94,33,1,1,1,2,0,2/D3H,
2021,28,TEX,AL,89,302,285,23,68,14,0,5,30,1,1,12,57,0.239,0.267,0.34,0.607,66,97,13,0,2,3,1,2/H,
2022,29,NYY,AL,74,213,200,28,52,7,1,9,32,2,0,11,36,0.26,0.3,0.44,0.74,110,88,3,1,0,1,0,*2/H,AS
5 Yrs,,,,230,732,689,79,172,38,1,18,87,3,1,29,136,0.25,0.279,0.386,0.665,80,266,24,2,4,8,1,,
162 Game Avg.,,,,162,516,485,56,121,27,1,13,61,2,1,20,96,0.25,0.279,0.386,0.665,80,187,17,1,3,6,1,,
TEX (4 yrs),,,,156,519,489,51,120,31,0,9,55,1,1,18,100,0.245,0.27,0.364,0.634,69,178,21,1,4,7,1,,
NYY (1 yr),,,,74,213,200,28,52,7,1,9,32,2,0,11,36,0.26,0.3,0.44,0.74,110,88,3,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
