Date,H/A,Opp,NYY Win Prob,W/L,NYY Runs,Opp Runs,NYY Starter,Opp Starter
4/8/22,vs,BOS,62.30%,W,6,5,Gerrit Cole,Nathan Eovaldi
4/9/22,vs,BOS,58.20%,W,4,2,Luis Severino,Nick Pivetta
4/10/22,vs,BOS,53.60%,L,3,4,Jordan Montgomery,Tanner Houck
4/11/22,vs,TOR,48.50%,L,0,3,Jameson Taillon,Alek Manoah
4/12/22,vs,TOR,51.00%,W,4,0,Nestor Cortes,Yusei Kikuchi
4/13/22,vs,TOR,60.30%,L,4,6,Gerrit Cole,José Berríos
4/14/22,vs,TOR,56.20%,W,3,0,Luis Severino,Kevin Gausman
4/15/22,at,BAL,65.40%,L,1,2,Jordan Montgomery,Jordan Lyles
4/16/22,at,BAL,58.00%,W,5,2,Jameson Taillon,Tyler Wells
4/17/22,at,BAL,59.40%,L,0,5,Nestor Cortes,Bruce Zimmermann
4/19/22,at,DET,64.00%,W,4,2,Gerrit Cole,Tyler Alexander
4/20/22,at,DET,55.40%,W,5,3,Luis Severino,Eduardo Rodriguez
4/21/22,at,DET,57.00%,L,0,3,Jordan Montgomery,Michael Pineda
4/22/22,vs,CLE,62.60%,W,4,1,Jameson Taillon,Eli Morgan
4/23/22,vs,CLE,61.00%,W,5,4,Nestor Cortes,Cal Quantrill
4/24/22,vs,CLE,70.30%,W,10,2,Gerrit Cole,Aaron Civale
4/26/22,vs,BAL,74.50%,W,12,8,Luis Severino,Jordan Lyles
4/27/22,vs,BAL,68.60%,W,5,2,Jordan Montgomery,Tyler Wells
4/28/22,vs,BAL,67.90%,W,10,5,Jameson Taillon,Bruce Zimmermann
4/29/22,at,KCR,54.20%,W,12,2,Nestor Cortes,Kris Bubic
4/30/22,at,KCR,64.10%,W,3,0,Gerrit Cole,Carlos Hernández
5/1/22,at,KCR,60.90%,W,6,4,Luis Severino,Daniel Lynch
5/2/22,at,TOR,48.80%,W,3,2,Jordan Montgomery,Ross Stripling
