Date,H/A,Opp,NYY Win Prob,W/L,NYY Runs,Opp Runs,NYY Season Runs,Opp Season Runs,Run Diff,NYY Starter,Opp Starter
4/8/22,vs,BOS,0.623,W,6,5,6,5,1,Gerrit Cole,Nathan Eovaldi
4/9/22,vs,BOS,0.582,W,4,2,10,7,3,Luis Severino,Nick Pivetta
4/10/22,vs,BOS,0.536,L,3,4,13,11,2,Jordan Montgomery,Tanner Houck
4/11/22,vs,TOR,0.485,L,0,3,13,14,-1,Jameson Taillon,Alek Manoah
4/12/22,vs,TOR,0.51,W,4,0,17,14,3,Nestor Cortes,Yusei Kikuchi
4/13/22,vs,TOR,0.603,L,4,6,21,20,1,Gerrit Cole,José Berríos
4/14/22,vs,TOR,0.562,W,3,0,24,20,4,Luis Severino,Kevin Gausman
4/15/22,at,BAL,0.654,L,1,2,25,22,3,Jordan Montgomery,Jordan Lyles
4/16/22,at,BAL,0.58,W,5,2,30,24,6,Jameson Taillon,Tyler Wells
4/17/22,at,BAL,0.594,L,0,5,30,29,1,Nestor Cortes,Bruce Zimmermann
4/19/22,at,DET,0.64,W,4,2,34,31,3,Gerrit Cole,Tyler Alexander
4/20/22,at,DET,0.554,W,5,3,39,34,5,Luis Severino,Eduardo Rodriguez
4/21/22,at,DET,0.57,L,0,3,39,37,2,Jordan Montgomery,Michael Pineda
4/22/22,vs,CLE,0.626,W,4,1,43,38,5,Jameson Taillon,Eli Morgan
4/23/22,vs,CLE,0.61,W,5,4,48,42,6,Nestor Cortes,Cal Quantrill
4/24/22,vs,CLE,0.703,W,10,2,58,44,14,Gerrit Cole,Aaron Civale
4/26/22,vs,BAL,0.745,W,12,8,70,52,18,Luis Severino,Jordan Lyles
4/27/22,vs,BAL,0.686,W,5,2,75,54,21,Jordan Montgomery,Tyler Wells
4/28/22,vs,BAL,0.679,W,10,5,85,59,26,Jameson Taillon,Bruce Zimmermann
4/29/22,at,KCR,0.542,W,12,2,97,61,36,Nestor Cortes,Kris Bubic
4/30/22,at,KCR,0.641,W,3,0,100,61,39,Gerrit Cole,Carlos Hernández
5/1/22,at,KCR,0.609,W,6,4,106,65,41,Luis Severino,Daniel Lynch
5/2/22,at,TOR,0.488,W,3,2,109,67,42,Jordan Montgomery,Ross Stripling
5/3/22,at,TOR,0.396,W,9,1,118,68,50,Jameson Taillon,Alek Manoah
5/4/22,at,TOR,0.493,L,1,2,119,70,49,Nestor Cortes,Yusei Kikuchi
5/8/22,vs,TEX,0.688,W,2,1,121,71,50,Gerrit Cole,Dane Dunning
5/8/22,vs,TEX,0.634,L,2,4,123,75,48,Jordan Montgomery,Glenn Otto
5/9/22,vs,TEX,0.611,W,1,0,124,75,49,Nestor Cortes,Jon Gray
5/10/22,vs,TOR,0.587,W,6,5,130,80,50,Luis Severino,Yusei Kikuchi
5/11/22,vs,TOR,0.499,W,5,3,135,83,52,Jameson Taillon,José Berríos
5/12/22,at,CHW,0.43,W,15,7,150,90,60,Luis Gil,Dylan Cease
5/13/22,at,CHW,0.617,W,10,4,160,94,66,Gerrit Cole,Vince Velasquez
5/14/22,at,CHW,0.549,L,2,3,162,97,65,Jordan Montgomery,Dallas Keuchel
5/15/22,at,CHW,0.457,W,5,1,167,98,69,Nestor Cortes,Michael Kopech
5/16/22,at,BAL,0.605,W,6,2,173,100,73,Luis Severino,Kyle Bradish
5/17/22,at,BAL,0.657,W,5,4,178,104,74,Jameson Taillon,Spenser Watkins
5/18/22,at,BAL,0.701,W,3,2,181,106,75,Gerrit Cole,Jordan Lyles
5/19/22,at,BAL,0.619,L,6,9,187,115,72,Jordan Montgomery,Bruce Zimmermann
5/21/22,vs,CHW,0.609,W,7,5,194,120,74,Nestor Cortes,Dallas Keuchel
