Date,Team,Opp,GS,GStot,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,GSv2
8/22/22,NYM,@NYY,1,416,0,1,0,0,6.2,29,7,4,4,1,1,3,4.05,1.35,1.35,0.261,65.80%,21.70%,7.10%,90.8,5.4,5.06,6.2,48
8/17/22,NYM,@ATL,1,415,1,0,0,0,6.1,25,3,4,4,0,3,8,11.37,4.26,0,0.231,42.90%,46.20%,0.00%,85.8,5.68,2.48,4.1,61
8/12/22,NYM,PHI,1,414,0,0,0,0,7,30,9,1,1,0,0,6,7.71,0,0,0.391,90.00%,34.80%,0.00%,85,1.29,1.83,4.55,66
8/6/22,NYM,ATL,1,413,1,0,0,0,7,25,4,0,0,0,0,11,14.14,0,0,0.286,100.00%,28.60%,0.00%,85,0,-0.03,1.65,84
8/1/22,NYM,@WSN,1,412,1,0,0,0,6.2,28,6,3,2,1,2,5,6.75,2.7,1.35,0.25,75.80%,30.00%,8.30%,89.8,2.7,4.46,5.16,53
7/27/22,NYM,NYY,1,411,0,0,0,0,7,29,5,0,0,0,2,6,7.71,2.57,0,0.25,100.00%,10.00%,0.00%,91.9,0,2.69,5.2,73
7/22/22,NYM,SDP,1,410,0,1,0,0,6,25,5,2,2,1,1,8,12,1.5,1.5,0.286,89.30%,38.50%,20.00%,84.7,3,3.61,2.67,59
7/16/22,NYM,@CHC,1,409,0,0,0,0,6.1,27,8,2,2,0,1,11,15.63,1.42,0,0.533,77.80%,6.70%,0.00%,89.9,2.84,0.11,1.97,64
7/11/22,NYM,@ATL,1,408,1,0,0,0,7,24,3,1,1,1,0,9,11.57,0,1.29,0.143,100.00%,13.30%,10.00%,96.4,1.29,2.4,2.64,75
7/5/22,NYM,@CIN,1,407,0,0,0,0,6,21,2,0,0,0,0,11,16.5,0,0,0.222,100.00%,33.30%,0.00%,84.9,0,-0.05,0.93,82
5/18/22,NYM,STL,1,406,1,0,0,0,5.2,24,7,2,1,0,0,4,6.35,0,0,0.368,75.00%,26.30%,0.00%,86.5,1.59,2.23,4.56,57
5/13/22,NYM,SEA,1,405,0,0,0,0,7,26,3,1,1,0,2,6,7.71,2.57,0,0.188,85.70%,56.30%,0.00%,86.7,1.29,3.11,4.16,74
5/8/22,NYM,@PHI,1,404,0,1,0,0,6,26,10,3,3,1,0,7,10.5,0,1.5,0.5,81.40%,21.10%,9.10%,89.1,4.5,2.95,3.47,47
5/1/22,NYM,PHI,1,403,1,0,0,0,6,23,5,4,4,3,1,9,13.5,1.5,4.5,0.2,100.00%,30.80%,60.00%,91.8,6,7.11,1.84,42
4/25/22,NYM,@STL,1,402,0,0,0,0,7,25,2,0,0,0,1,10,12.86,1.29,0,0.143,100.00%,42.90%,0.00%,80.3,0,0.69,2.15,85
4/19/22,NYM,SFG,1,401,1,0,0,0,7,25,1,1,1,0,3,10,12.86,3.86,0,0.083,75.00%,25.00%,0.00%,85.5,1.29,1.54,3.22,80
4/13/22,NYM,@PHI,1,400,1,0,0,0,5,22,5,1,1,0,3,7,12.6,5.4,0,0.417,87.50%,33.30%,0.00%,85.6,1.8,2.11,3.88,57
4/8/22,NYM,@WSN,1,399,1,0,0,0,6,22,3,3,3,1,1,6,9,1.5,1.5,0.154,55.60%,38.50%,25.00%,92.3,4.5,4.28,3.09,58
9/29/21,LAD,SDP,1,398,0,0,0,0,5.1,27,11,6,5,2,0,4,6.75,0,3.38,0.429,61.00%,26.10%,22.20%,91.7,8.44,6.55,4.65,24
9/23/21,LAD,@COL,1,397,0,0,0,0,5,22,6,5,5,1,1,6,10.8,1.8,1.8,0.357,35.70%,40.00%,16.70%,83.4,9,3.97,3.49,41
9/18/21,LAD,@CIN,1,396,1,0,0,0,7,25,2,0,0,0,2,7,9,2.57,0,0.125,100.00%,25.00%,0.00%,79.5,0,2.03,4.8,81
9/12/21,LAD,SDP,1,395,1,0,0,0,8,25,1,0,0,0,0,9,10.13,0,0,0.063,100.00%,31.30%,0.00%,85.4,0,0.92,2.9,95
9/6/21,LAD,@STL,1,394,1,0,0,0,8,30,6,1,0,0,0,13,14.63,0,0,0.353,83.30%,41.20%,0.00%,89.8,0,-0.08,0.58,86
9/1/21,LAD,ATL,1,393,0,0,0,0,6,21,3,0,0,0,0,9,13.5,0,0,0.25,100.00%,33.30%,0.00%,87.9,0,0.17,2.23,79
8/26/21,LAD,@SDP,1,392,1,0,0,0,7.2,26,2,0,0,0,1,10,11.74,1.17,0,0.143,100.00%,50.00%,0.00%,94.8,0,1.34,2.95,90
8/21/21,LAD,NYM,1,391,1,0,0,0,5,23,5,1,1,1,1,8,14.4,1.8,1.8,0.333,100.00%,30.80%,16.70%,85.4,1.8,3.77,3.29,57
8/15/21,LAD,@NYM,1,390,1,0,0,0,6,27,4,2,2,0,2,7,10.5,3,0,0.222,66.70%,52.90%,0.00%,79.4,3,1.84,3.01,65
8/10/21,LAD,@PHI,1,389,0,0,0,0,3.1,12,3,0,0,0,0,6,16.2,0,0,0.5,100.00%,33.30%,0.00%,88.8,0,-0.43,0.63,60
8/4/21,LAD,HOU,1,388,1,0,0,0,7,27,5,2,2,1,1,10,12.86,1.29,1.29,0.267,87.00%,25.00%,11.10%,82.1,2.57,2.6,3.01,68
7/29/21,WSN,@PHI,1,387,1,0,0,0,6,23,3,1,1,1,3,5,7.5,4.5,1.5,0.154,100.00%,42.90%,20.00%,89.7,1.5,5.67,4.97,60
7/18/21,WSN,SDP,1,386,0,0,0,0,7,28,4,4,4,2,3,8,10.29,3.86,2.57,0.133,71.40%,41.20%,22.20%,89.7,5.14,5.88,4.44,52
7/8/21,WSN,@SDP,1,385,0,0,0,0,3.2,19,5,7,7,2,1,7,17.18,2.45,4.91,0.429,19.20%,33.30%,40.00%,93.4,17.18,8.9,4.21,24
7/2/21,WSN,LAD,1,384,0,0,0,0,6,22,4,1,1,1,1,8,12,1.5,1.5,0.25,100.00%,23.10%,11.10%,91.6,1.5,3.17,3.65,65
6/27/21,WSN,@MIA,1,383,1,0,0,0,6,26,5,1,1,0,2,7,10.5,3,0,0.313,87.50%,53.30%,0.00%,79.7,1.5,2.34,3.81,66
6/22/21,WSN,@PHI,1,382,1,0,0,0,5,21,2,1,1,1,3,8,14.4,5.4,1.8,0.111,100.00%,30.00%,16.70%,88.6,1.8,4.37,3.89,59
6/11/21,WSN,SFG,1,381,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,90.5,0,3.17,8.46,42
6/4/21,WSN,@PHI,1,380,1,0,0,0,7.2,28,5,1,1,0,1,9,10.57,1.17,0,0.294,85.70%,43.80%,0.00%,87.7,1.17,1.6,3.45,80
5/30/21,WSN,MIL,1,379,0,1,0,0,6,21,2,2,2,1,1,10,15,1.5,1.5,0.111,62.50%,40.00%,16.70%,89.8,3,2.5,2.1,68
5/25/21,WSN,CIN,1,378,0,1,0,0,7,26,5,2,2,2,1,9,11.57,1.29,2.57,0.231,100.00%,26.70%,25.00%,91.6,2.57,5.17,3.47,61
5/19/21,WSN,@CHC,1,377,1,0,0,0,5,23,5,2,2,0,4,8,14.4,7.2,0,0.455,77.80%,18.20%,0.00%,89.1,3.6,2.37,3.78,54
5/14/21,WSN,@ARI,1,376,1,0,0,0,5,18,2,0,0,0,1,7,12.6,1.8,0,0.2,100.00%,30.00%,0.00%,87.9,0,0.97,3.09,71
5/8/21,WSN,@NYY,1,375,0,0,0,0,7.1,25,2,1,1,1,1,14,17.18,1.23,1.23,0.111,100.00%,30.00%,16.70%,87.9,1.23,1.53,1.2,83
5/2/21,WSN,MIA,1,374,1,0,0,0,9,31,5,1,1,1,0,9,9,0,1,0.2,100.00%,60.00%,20.00%,85.4,1,2.95,2.48,84
4/27/21,WSN,@TOR,1,373,0,1,0,0,5,24,8,7,5,2,2,5,9,3.6,3.6,0.4,41.70%,31.30%,25.00%,99.1,9,7.57,5.19,22
4/21/21,WSN,STL,1,372,1,0,0,0,6,23,4,0,0,0,1,9,13.5,1.5,0,0.333,100.00%,16.70%,0.00%,84.6,0,1.17,2.64,75
4/16/21,WSN,ARI,1,371,0,0,0,0,7,25,2,0,0,0,2,10,12.86,2.57,0,0.154,100.00%,7.70%,0.00%,89.5,0,1.17,3.44,84
4/11/21,WSN,@LAD,1,370,0,1,0,0,6,21,3,1,1,0,1,5,7.5,1.5,0,0.2,75.00%,20.00%,0.00%,88.8,1.5,2,4.36,70
4/6/21,WSN,ATL,1,369,0,0,0,0,6,23,5,4,4,4,0,9,13.5,0,6,0.1,100.00%,14.30%,40.00%,91.2,6,8.84,3.11,39
9/26/20,WSN,NYM,1,368,1,0,0,0,6,26,6,3,3,2,2,7,10.5,3,3,0.267,96.20%,41.20%,33.30%,95.7,4.5,6.19,3.79,47
9/20/20,WSN,@MIA,1,367,0,1,0,0,5.2,26,5,2,0,0,2,6,9.53,3.18,0,0.278,71.40%,44.40%,0.00%,82.8,0,2.13,4.51,61
9/13/20,WSN,ATL,1,366,0,1,0,0,5.1,27,9,6,6,2,2,10,16.88,3.38,3.38,0.538,61.00%,0.00%,33.30%,94.4,10.13,5.44,2.74,31
9/7/20,WSN,TBR,1,365,1,0,0,0,7,28,6,0,0,0,1,8,10.29,1.29,0,0.316,100.00%,21.10%,0.00%,87.2,0,1.33,4.36,77
