Rk,Gtm,Date,At,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA
1,1,Apr 8,,BOS,"W,6-5",11,9,5,4,1,3,11,1,1,3.27
2,2,Apr 9,,BOS,"W,4-2",9,5,2,2,0,4,12,1,0,2.7
3,3,Apr 10,,BOS,"L,3-4",9,5,4,4,0,4,8,1,1,3.1
4,4,Apr 11,,TOR,"L,0-3",9,10,3,3,0,0,10,1,1,3.08
5,5,Apr 12,,TOR,"W,4-0",9,5,0,0,0,0,10,0,0,2.49
6,6,Apr 13,,TOR,"L,4-6",9,8,6,5,1,2,7,3,0,2.89
7,7,Apr 14,,TOR,"W,3-0",9,5,0,0,0,5,11,0,2,2.49
8,8,Apr 15,@,BAL,"L,1-2",10.2,6,2,1,1,10,9,0,0,2.26
9,9,Apr 16,@,BAL,"W,5-2",9,7,2,2,0,3,7,1,0,2.23
10,10,Apr 17,@,BAL,"L,0-5",8,9,5,5,0,4,16,0,0,2.53
11,11,Apr 19,@,DET,"W,4-2",9,4,2,2,0,8,11,0,1,2.48
12,12,Apr 20,@,DET,"W,5-3",9,11,3,3,0,3,8,0,0,2.52
13,13,Apr 21,@,DET,"L,0-3",8,7,3,3,0,4,5,0,0,2.58
14,14,Apr 22,,CLE,"W,4-1",9,9,1,1,0,0,15,1,0,2.47
15,15,Apr 23,,CLE,"W,5-4",9,4,4,4,0,2,9,2,0,2.57
16,16,Apr 24,,CLE,"W,10-2",9,6,2,2,0,3,10,0,0,2.53
17,17,Apr 26,,BAL,"W,12-8",9,7,8,8,0,4,8,2,1,2.85
18,18,Apr 27,,BAL,"W,5-2",9,5,2,2,0,1,8,1,2,2.8
19,19,Apr 28,,BAL,"W,10-5",9,14,5,5,0,3,12,0,1,2.92
20,20,Apr 29,@,KCR,"W,12-2",8,8,2,1,1,2,5,0,0,2.84
21,21,Apr 30,@,KCR,"W,3-0",9,7,0,0,0,3,7,0,1,2.7
22,22,May 1,@,KCR,"W,6-4",9,11,4,3,1,2,8,1,0,2.72
23,23,May 2,@,TOR,"W,3-2",9,9,2,2,0,2,9,0,0,2.69
24,24,May 3,@,TOR,"W,9-1",9,8,1,1,0,0,7,0,0,2.62
25,25,May 4,@,TOR,"L,1-2",8,4,2,2,0,4,7,1,0,2.6
26,26,May 8,,TEX,"W,2-1",9,6,1,1,0,1,14,1,0,2.54
27,27,May 8,,TEX,"L,2-4",9,7,4,4,0,1,9,2,1,2.6
28,28,May 9,,TEX,"W,1-0",9,2,0,0,0,4,11,0,0,2.5
29,29,May 10,,TOR,"W,6-5",9,7,5,5,0,4,15,1,1,2.59
30,30,May 11,,TOR,"W,5-3",9,9,3,3,0,2,7,0,1,2.6
31,31,May 12,@,CHW,"W,15-7",9,8,7,7,0,4,8,1,0,2.75
32,32,May 13,@,CHW,"W,10-4",9,9,4,4,0,1,11,1,0,2.78
33,33,May 14,@,CHW,"L,2-3",8.1,11,3,3,0,4,6,1,0,2.8
34,34,May 15,@,CHW,"W,5-1",9,4,1,1,0,0,8,1,0,2.74
35,35,May 16,@,BAL,"W,6-2",9,3,2,2,0,2,11,2,1,2.72
36,36,May 17,@,BAL,"W,5-4",9,9,4,4,0,1,9,1,0,2.76
37,37,May 18,@,BAL,"W,3-2",9,7,2,2,0,0,6,0,0,2.74
38,38,May 19,@,BAL,"L,6-9",8.1,11,9,7,2,3,8,2,0,2.86
39,39,May 21,,CHW,"W,7-5",9,11,5,5,0,1,14,1,1,2.91
40,40,May 22,,CHW,"L,1-3",9,8,3,3,0,2,8,1,0,2.91
41,41,May 22,,CHW,"L,0-5",9,13,5,5,0,0,7,1,2,2.96
42,42,May 23,,BAL,"L,4-6",9,10,6,6,0,0,11,1,0,3.04
43,43,May 24,,BAL,"W,7-6",11,7,6,5,1,1,8,2,0,3.07
44,44,May 25,,BAL,"W,2-0",9,5,0,0,0,3,11,0,0,3
45,45,May 26,@,TBR,"W,7-2",9,6,2,2,0,1,6,0,0,2.98
46,46,May 27,@,TBR,"W,2-0",9,2,0,0,0,0,7,0,0,2.91
47,47,May 28,@,TBR,"L,1-3",8,7,3,3,0,3,10,0,0,2.92
48,48,May 29,@,TBR,"L,2-4",8,2,4,4,0,4,9,2,1,2.95
49,49,May 31,,LAA,"W,9-1",9,7,1,1,0,3,5,1,0,2.91
50,50,Jun 2,,LAA,"W,6-1",9,7,1,1,0,5,11,0,0,2.87
51,51,Jun 2,,LAA,"W,2-1",9,2,1,1,0,1,6,0,2,2.83
