Week,Start Date,End Date,Mid Date,OPS,ERA
1,4/7/22,4/13/22,4/10/22,9,7
2,4/14/22,4/20/22,4/17/22,23,5
3,4/21/22,4/27/22,4/24/22,1,17
4,4/28/22,5/4/22,5/1/22,3,1
5,5/5/22,5/11/22,5/8/22,27,6
6,5/12/22,5/18/22,5/15/22,2,10
7,5/19/22,5/25/22,5/22/22,22,17
8,5/26/22,6/1/22,5/29/22,24,1
9,6/2/22,6/8/22,6/5/22,5,3
10,6/9/22,6/15/22,6/12/22,4,2
11,6/16/22,6/22/22,6/19/22,4,10
12,6/23/22,6/29/22,6/26/22,24,10
13,6/30/22,7/6/22,7/3/22,3,4
14,7/7/22,7/13/22,7/10/22,4,28
15,7/14/22,7/20/22,7/17/22,2,12
16,7/21/22,7/27/22,7/24/22,11,20
17,7/28/22,8/3/22,7/31/22,4,24
18,8/4/22,8/10/22,8/7/22,21,19
19,8/11/22,8/17/22,8/14/22,29,9
