Gm#,Date,,Tm,,Opp,W/L,W/L/wo,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Apr 8",boxscore,NYY,,BOS,W,W-wo,6,5,11,Jan-00,1,Tied,King,Crawford,,3:56,D,"46,097",0.97,+,
2,"Saturday, Apr 9",boxscore,NYY,,BOS,W,W,4,2,,Feb-00,1,Tied,Luetge,Pivetta,Chapman,2:58,D,"46,882",1.03,++,
3,"Sunday, Apr 10",boxscore,NYY,,BOS,L,L,3,4,,1-Feb,2,1,Crawford,Schmidt,Diekman,3:40,N,"40,108",1.04,-,
4,"Monday, Apr 11",boxscore,NYY,,TOR,L,L,0,3,,2-Feb,3,1,Manoah,Taillon,Romano,3:03,N,"26,211",1.05,--,
5,"Tuesday, Apr 12",boxscore,NYY,,TOR,W,W,4,0,,2-Mar,2,1,Holmes,Kikuchi,,3:07,N,"25,068",1.03,+,
6,"Wednesday, Apr 13",boxscore,NYY,,TOR,L,L,4,6,,3-Mar,3,1,Cimber,Green,Romano,3:10,N,"30,109",1.06,-,
7,"Thursday, Apr 14",boxscore,NYY,,TOR,W,W,3,0,,3-Apr,1,Tied,Severino,Gausman,King,3:06,N,"37,255",1.02,+,
8,"Friday, Apr 15",boxscore,NYY,@,BAL,L,L-wo,1,2,11,4-Apr,2,1,Krehbiel,Schmidt,,4:15,N,"32,197",1.05,-,
9,"Saturday, Apr 16",boxscore,NYY,@,BAL,W,W,5,2,,4-May,1,Tied,Sears,Lakins,Holmes,3:26,N,"28,179",1.01,+,
10,"Sunday, Apr 17",boxscore,NYY,@,BAL,L,L,0,5,,5-May,3,1,Lopez,Loaisiga,,3:16,D,"25,938",1.07,-,
11,"Tuesday, Apr 19",boxscore,NYY,@,DET,W,W,4,2,,5-Jun,1,Tied,Schmidt,Alexander,Chapman,3:59,N,"15,498",1.03,+,
12,"Wednesday, Apr 20",boxscore,NYY,@,DET,W,W,5,3,,5-Jul,1,Tied,Green,Hutchison,Chapman,3:06,N,"17,268",1.08,++,
13,"Thursday, Apr 21",boxscore,NYY,@,DET,L,L,0,3,,6-Jul,2,1,Pineda,Montgomery,Soto,2:34,D,"21,529",1.05,-,
14,"Friday, Apr 22",boxscore,NYY,,CLE,W,W,4,1,,6-Aug,2,1,Taillon,Morgan,Chapman,2:58,N,"41,062",1.04,+,
15,"Saturday, Apr 23",boxscore,NYY,,CLE,W,W-wo,5,4,,6-Sep,2,1,Castro,Clase,,2:50,D,"39,180",1.06,++,
16,"Sunday, Apr 24",boxscore,NYY,,CLE,W,W,10,2,,6-Oct,1,Tied,Cole,Civale,,2:43,D,"39,050",1.09,+++,
17,"Tuesday, Apr 26",boxscore,NYY,,BAL,W,W,12,8,,6-Nov,2,0.5,Severino,Lyles,,3:19,N,"28,596",1.16,++++,
18,"Wednesday, Apr 27",boxscore,NYY,,BAL,W,W,5,2,,6-Dec,1,up 0.5,King,Krehbiel,Holmes,2:57,N,"31,122",1.14,+++++,
19,"Thursday, Apr 28",boxscore,NYY,,BAL,W,W,10,5,,13-6,1,up 0.5,Castro,Zimmermann,,3:51,D,"29,268",1.19,++++++,
20,"Friday, Apr 29",boxscore,NYY,@,KCR,W,W,12,2,8,14-6,1,up 1.5,Cortes,Bubic,,2:58,N,"16,460",1.22,+++++++,
21,"Saturday, Apr 30",boxscore,NYY,@,KCR,W,W,3,0,,15-6,1,up 1.5,Cole,Hernandez,Chapman,3:08,N,"23,965",1.23,++++++++,
22,"Sunday, May 1",boxscore,NYY,@,KCR,W,W,6,4,,16-6,1,up 1.5,Schmidt,Coleman,Chapman,3:23,D,"19,704",1.19,+++++++++,
23,"Monday, May 2",boxscore,NYY,@,TOR,W,W,3,2,,17-6,1,up 2.5,Holmes,Garcia,Green,2:54,N,"18,577",1.39,++++++++++,
24,"Tuesday, May 3",boxscore,NYY,@,TOR,W,W,9,1,,18-6,1,up 3.5,Taillon,Cimber,,2:57,N,"22,491",1.4,+++++++++++,
25,"Wednesday, May 4",boxscore,NYY,@,TOR,L,L,1,2,,18-7,1,up 2.5,Kikuchi,Cortes,Romano,2:44,N,"29,057",1.38,-,
26,"Sunday, May 8",boxscore,NYY,,TEX,W,W-wo,2,1,,19-7,1,up 2.0,Holmes,King,,2:54,D,,1.22,+,
27,"Sunday, May 8",boxscore,NYY,,TEX,L,L,2,4,,19-8,1,up 2.0,Richards,King,Barlow,3:07,D,"40,714",1.23,-,
28,"Monday, May 9",boxscore,NYY,,TEX,W,W,1,0,,20-8,1,up 3.0,Holmes,Martin,Chapman,2:41,D,"34,866",1.23,+,
29,"Tuesday, May 10",boxscore,NYY,,TOR,W,W-wo,6,5,,21-8,1,up 4.0,Peralta,Romano,,3:39,N,"41,522",1.34,++,
30,"Wednesday, May 11",boxscore,NYY,,TOR,W,W,5,3,,22-8,1,up 4.0,Taillon,Berrios,Chapman,2:50,D,"42,105",1.33,+++,
31,"Thursday, May 12",boxscore,NYY,@,CHW,W,W,15,7,,23-8,1,up 4.5,Loaisiga,Kelly,,3:56,N,"20,050",1.19,++++,
32,"Friday, May 13",boxscore,NYY,@,CHW,W,W,10,4,,24-8,1,up 4.5,Cole,Velasquez,,3:21,N,"28,877",1.24,+++++,
33,"Saturday, May 14",boxscore,NYY,@,CHW,L,L-wo,2,3,,24-9,1,up 4.5,Hendriks,Chapman,,3:27,N,"32,830",1.12,-,
34,"Sunday, May 15",boxscore,NYY,@,CHW,W,W,5,1,,25-9,1,up 4.5,Cortes,Kopech,,2:32,D,"29,500",1.16,+,
35,"Monday, May 16",boxscore,NYY,@,BAL,W,W,6,2,,26-9,1,up 5.5,Severino,Bradish,,2:59,N,"12,228",1.16,++,
36,"Tuesday, May 17",boxscore,NYY,@,BAL,W,W,5,4,,27-9,1,up 5.5,Taillon,Tate,Chapman,3:06,N,"12,635",1.06,+++,
37,"Wednesday, May 18",boxscore,NYY,@,BAL,W,W,3,2,,28-9,1,up 5.5,Cole,Lyles,Holmes,2:34,N,"13,850",1.06,++++,
